600476254	20151119	201511	2015	2015.8740	BUS	BUSINESS						BUS			FRA	FRANCE	FRA								1	010	010	01	1	0.0	2	1	2	-1.83206106870229	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20161118230000	http://dcist.com/2016/11/georgetown_students_protest_appoint.php
600476255	20151119	201511	2015	2015.8740	FRA	FRENCH	FRA								GOV	GOVERNMENT						GOV			1	110	110	11	3	-2.0	2	1	2	-0.59391239792131	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20161118230000	http://alltechnews.org/2016/11/18/obama-european-leaders-focus-on-syria-ukraine/
600476256	20151119	201511	2015	2015.8740	FRAGOV	FRENCH	FRA					GOV			GOV	GOVERNMENT						GOV			1	110	110	11	3	-2.0	6	1	6	-0.59391239792131	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20161118230000	http://alltechnews.org/2016/11/18/obama-european-leaders-focus-on-syria-ukraine/
600476257	20151119	201511	2015	2015.8740	IGOUNODEVWBK	WORLD BANK		UNO				IGO	DEV		PER	LIMA	PER								1	046	046	04	1	7.0	10	1	10	2.8003613369467	4	Lima, Lima, Peru	PE	PE15	91841	-12.05	-77.05	-352647	4	Lima, Lima, Peru	PE	PE15	91841	-12.05	-77.05	-352647	4	Lima, Lima, Peru	PE	PE15	91841	-12.05	-77.05	-352647	20161118230000	http://www.imf.org/en/News/Articles/2016/11/18/SP111816-Peru-Seizing-Opportunities-in-a-Changing-Global-Economy
600476258	20151119	201511	2015	2015.8740	JUD	ATTORNEY						JUD			LEGJUD	SENATE						LEG	JUD		1	120	120	12	3	-4.0	8	1	8	-2.5940337224384	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20161118230000	http://www.ebony.com/news-views/jeff-sessions-5-things-trump
600476259	20151119	201511	2015	2015.8740	MAR	MOROCCO	MAR																		1	051	051	05	1	3.4	5	1	5	2.01005025125628	4	Bonn, Nordrhein-Westfalen, Germany	GM	GM07	16554	50.7333	7.1	-1750167	0								4	Bonn, Nordrhein-Westfalen, Germany	GM	GM07	16554	50.7333	7.1	-1750167	20161118230000	http://www.fbc.com.fj/fiji/45780/fiji-bids-for-cop23-presidency
600476260	20151119	201511	2015	2015.8740	MED	JOURNALIST						MED													0	010	010	01	1	0.0	1	1	1	1.54440154440155	3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	0								3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	20161118230000	http://www.qsrweb.com/articles/did-they-just-say-that-world-watches-while-mcdonalds-promises-to-make-ordering-fun/
600476261	20151119	201511	2015	2015.8740	MED	JOURNALIST						MED			USA	UNITED STATES	USA								0	010	010	01	1	0.0	1	1	1	1.54440154440155	3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	20161118230000	http://www.qsrweb.com/articles/did-they-just-say-that-world-watches-while-mcdonalds-promises-to-make-ordering-fun/
600476262	20151119	201511	2015	2015.8740	MED	MEDIA						MED			VAT	VATICAN	VAT								1	014	014	01	1	0.0	7	1	7	-1.42743854084061	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20161118230000	http://www.utahindependent.com/index.php/sid/249519747
600476263	20151119	201511	2015	2015.8740	MIL	INFANTRY						MIL													0	017	017	01	1	0.0	10	1	10	2.57425742574257	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	0								2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20161118230000	http://www.wwisradio.com/news/14806-native-americans-continue-to-honor-ancestors-legacy-of-red-arrow
