468220078	20140918	201409	2014	2014.7068	USA	UNITED STATES	USA																		1	020	020	02	1	3.0	2	1	2	4.67065868263473	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20150918230000	http://www.vogue.com/13349231/emmy-awards-2015-winners-predictions/
468220079	20140918	201409	2014	2014.7068	USA	WASHINGTON	USA								USAGOV	OBAMA	USA					GOV			1	045	045	04	1	5.0	4	1	4	1.34328358208955	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20150918230000	http://tbtpics.tampabay.com/news/business/obama-plans-major-loosening-of-travel-and-commerce-restrictions-on-cuba/2246183
468220080	20140918	201409	2014	2014.7068	USA	WASHINGTON	USA								USAGOV	OBAMA	USA					GOV			1	045	045	04	1	5.0	16	1	16	1.34328358208955	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20150918230000	http://tbtpics.tampabay.com/news/business/obama-plans-major-loosening-of-travel-and-commerce-restrictions-on-cuba/2246183
468220081	20140918	201409	2014	2014.7068	USAGOV	BARACK OBAMA	USA					GOV			AFG	AFGHANISTAN	AFG								0	173	173	17	4	-5.0	2	1	2	-3.17775571002979	3	San Antonio, Texas, United States	US	USTX	TX029	29.4241	-98.4936	1380951	1	Afghanistan	AF	AF		33	65	AF	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	20150918230000	http://www.reviewjournal.com/news/nation-and-world/bergdahl-investigator-says-jail-time-would-be-inappropriate
468220082	20140918	201409	2014	2014.7068	USAGOV	BARACK OBAMA	USA					GOV			CUB	CUBA	CUB								0	0841	084	08	2	7.0	2	1	2	-3.17775571002979	3	San Antonio, Texas, United States	US	USTX	TX029	29.4241	-98.4936	1380951	1	Afghanistan	AF	AF		33	65	AF	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	20150918230000	http://www.reviewjournal.com/news/nation-and-world/bergdahl-investigator-says-jail-time-would-be-inappropriate
468220083	20150819	201508	2015	2015.6274	LBY	LIBYA	LBY								UAF	ARMED GROUP						UAF			0	136	136	13	3	-7.0	3	1	3	-3.64041604754829	1	Libya	LY	LY		25	17	LY	1	Libya	LY	LY		25	17	LY	1	Libya	LY	LY		25	17	LY	20150918230000	http://integrated.processmyquote.com/as-risks-multiply-ngos-reassess-security-insurance-costs-in-middle-east/
468220084	20150819	201508	2015	2015.6274	LBY	LIBYA	LBY								UAF	ARMED GROUP						UAF			0	136	136	13	3	-7.0	3	1	3	-3.64041604754829	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20150918230000	http://integrated.processmyquote.com/as-risks-multiply-ngos-reassess-security-insurance-costs-in-middle-east/
468220085	20150819	201508	2015	2015.6274	LBY	LIBYA	LBY								UAF	ARMED GROUP						UAF			0	166	166	16	4	-7.0	1	1	1	-3.64041604754829	1	Iraq	IZ	IZ		33	44	IZ	1	Iraq	IZ	IZ		33	44	IZ	1	Iraq	IZ	IZ		33	44	IZ	20150918230000	http://integrated.processmyquote.com/as-risks-multiply-ngos-reassess-security-insurance-costs-in-middle-east/
468220086	20150819	201508	2015	2015.6274	LBY	LIBYA	LBY								UAF	ARMED GROUP						UAF			0	166	166	16	4	-7.0	2	1	2	-3.64041604754829	1	Libya	LY	LY		25	17	LY	1	Libya	LY	LY		25	17	LY	1	Libya	LY	LY		25	17	LY	20150918230000	http://integrated.processmyquote.com/as-risks-multiply-ngos-reassess-security-insurance-costs-in-middle-east/
468220087	20150819	201508	2015	2015.6274	LBY	LIBYA	LBY								UAF	ARMED GROUP						UAF			0	166	166	16	4	-7.0	1	1	1	-3.64041604754829	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20150918230000	http://integrated.processmyquote.com/as-risks-multiply-ngos-reassess-security-insurance-costs-in-middle-east/
468220088	20150819	201508	2015	2015.6274	RUS	RUSSIA	RUS																		1	101	101	10	3	-5.0	8	1	8	-5.11945392491468	4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	0								4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	20150918230000	http://tbtpics.tampabay.com/news/localgovernment/st-petersburg-confirms-more-sewage-spilled-during-heavy-rains/2246180
468220089	20150911	201509	2015	2015.6877											CVL	VILLAGE						CVL			1	040	040	04	1	1.0	4	1	4	2.18579234972678	0								4	Ludhiana, Punjab, India	IN	IN23	17830	30.9	75.85	-2102840	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20150918230000	http://www.pinkvilla.com/entertainment/news/341469/preparations-full-swing-aamir-khan-s-dangal
468220090	20150911	201509	2015	2015.6877											IND	MUMBAI	IND								1	046	046	04	1	7.0	6	1	6	2.18579234972678	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20150918230000	http://www.pinkvilla.com/entertainment/news/341469/preparations-full-swing-aamir-khan-s-dangal
468220091	20150911	201509	2015	2015.6877											JUD	ATTORNEY						JUD			1	043	043	04	1	2.8	2	1	2	-5	0								3	Cumberland County, Maine, United States	US	USME		43.8501	-70.3328	581288	3	Cumberland County, Maine, United States	US	USME		43.8501	-70.3328	581288	20150918230000	http://www.chron.com/news/article/Attorney-Bra-set-off-metal-detector-deputy-6514686.php
468220092	20150911	201509	2015	2015.6877											MNCUSAMEDBUS	VERIZON	USA					MNC	MED	BUS	0	041	041	04	1	1.0	5	1	5	-2.92056074766355	0								2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20150918230000	https://www.eff.org/deeplinks/2015/09/update-eff-case-arguing-nsa-spying-violated-groups-first-amendment-rights
468220093	20150911	201509	2015	2015.6877	CHN	CHINESE	CHN								USA	THE US	USA								1	020	020	02	1	3.0	2	1	2	-1.5625	4	Han Kuang, Guangdong, China	CH	CH30	13043	24.1098	113.005	-1908361	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20150918230000	http://www.eyeontaiwan.com/do-not-deport-chinese-asylum-seekers-activists
468220094	20150911	201509	2015	2015.6877	CHRCTH	CATHOLIC				CHR	CTH				CHRCTH	HIGH PRIEST				CHR	CTH				1	036	036	03	1	4.0	2	1	2	-7.0362473347548	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20150918230000	http://thehayride.com/2015/09/4-issues-pope-francis-must-address-on-his-trip-around-america/
468220095	20150911	201509	2015	2015.6877	CHRCTH	HIGH PRIEST				CHR	CTH				CHRCTH	CATHOLIC				CHR	CTH				1	040	040	04	1	1.0	6	1	3	-7.0362473347548	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20150918230000	http://thehayride.com/2015/09/4-issues-pope-francis-must-address-on-his-trip-around-america/
468220096	20150911	201509	2015	2015.6877	CHRCTH	CATHOLIC				CHR	CTH				CHRCTH	HIGH PRIEST				CHR	CTH				1	042	042	04	1	1.9	2	1	2	-7.0362473347548	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20150918230000	http://thehayride.com/2015/09/4-issues-pope-francis-must-address-on-his-trip-around-america/
468220097	20150911	201509	2015	2015.6877	CHRCTH	HIGH PRIEST				CHR	CTH				CHRCTH	CATHOLIC				CHR	CTH				1	043	043	04	1	2.8	2	1	2	-7.0362473347548	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20150918230000	http://thehayride.com/2015/09/4-issues-pope-francis-must-address-on-his-trip-around-america/
468220098	20150911	201509	2015	2015.6877	CHRCTH	THE POPE				CHR	CTH				USA	UNITED STATES	USA								0	036	036	03	1	4.0	2	1	2	-0.80321285140562	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	20150918230000	http://www.cnbc.com/2015/09/18/reuters-america-update-6-obama-chips-away-at-cuba-embargo-discusses-efforts-with-raul-castro.html
