Day_Month_Year_Mention,GLOBALEVENTID,count
18-01-2016,503428907,58
18-01-2016,503429920,58
18-01-2016,503211848,36
18-01-2016,503428919,58
18-01-2016,503145802,52
18-01-2016,503390947,58
18-01-2016,503428909,58
18-01-2016,503429589,58
