GLOBALEVENTID,count
503428909,58
503429589,58
503429920,58
503390947,58
503428907,58
503428919,58
551686824,52
503145802,52
590299180,50
590299178,50
589971588,50
590299179,49
561129696,48
551687233,43
589948915,41
541652994,38
503211848,36
551495049,34
541656507,34
503428916,33
