Month_Year_Mention,GLOBALEVENTID,count
01-2016,503145802,52
01-2016,503429920,58
01-2016,503428919,58
01-2016,503429589,58
01-2016,503428907,58
01-2016,503390947,58
01-2016,503428909,58
