Month_Year_Mention,GLOBALEVENTID,count
05-2015,434214228,50
05-2015,434241712,50
05-2015,434261048,42
05-2015,434212791,49
05-2015,434214317,50
05-2015,434034645,41
05-2015,434212763,49
05-2015,434214079,49
05-2015,434214325,50
05-2015,434194363,42
05-2015,434257485,47
05-2015,434256608,47
